Id,Sales
1,4460.772
2,7739.453
3,8969.835
4,7430.888
5,6826.657
6,5637.761
7,7654.43
8,8000.6494
9,4796.7446
10,5869.5664
11,6995.7485
12,8233.853
13,7328.741
14,9926.667
15,5377.697
16,4795.9897
17,5529.213
18,9497.799
19,10297.323
20,12277.792
21,7620.1396
22,4391.6143
23,5707.346
24,3983.4504
25,7359.432
26,10413.262
27,8315.194
28,5854.087
29,5197.346
30,3829.4514
31,4814.343
32,10046.851
33,6428.1323
34,5313.078
35,4794.8374
36,8265.235
37,3420.7993
38,6093.775
39,4057.046
40,6874.8276
41,6428.702
42,5244.4526
43,7783.4424
44,7492.191
45,4959.0537
46,6735.5327
47,7487.6553
48,12428.953
49,5690.319
50,8109.756
51,6798.603
52,9909.349
53,6267.899
54,8849.191
55,4631.1626
56,4660.3774
57,5843.2383
58,6003.18
59,9645.473
60,7777.128
61,5525.6123
62,7608.4775
63,7290.4077
64,10279.897
65,3974.2979
66,12662.409
67,4662.0933
68,6126.167
69,8487.887
70,4739.7534
71,6581.167
72,6316.4443
73,7394.0933
74,5487.67
75,5410.346
76,6801.6577
77,7706.8613
78,6965.425
79,4794.522
80,6929.653
81,10778.502
82,6556.6978
83,4366.6274
84,7076.1064
85,5784.6045
86,5874.483
87,7491.984
88,3727.5447
89,7513.621
90,5808.9233
91,7572.3926
92,7240.0503
93,4375.5566
94,5763.064
95,5298.354
96,8059.7397
97,7864.5786
98,5080.9893
99,4972.57
100,7450.9346
101,5748.759
102,6377.4453
103,7455.0073
104,6432.449
105,7517.4272
106,5572.993
107,4031.8516
108,6839.5923
109,7906.9565
110,8572.057
111,9010.612
112,7699.7573
113,5431.273
114,8573.807
115,5280.3706
116,7048.949
117,9322.946
118,6052.607
119,9939.219
120,8089.6875
121,7545.583
122,5749.241
123,7179.777
124,7889.6016
125,6114.1724
126,3928.3855
127,5411.1772
128,8031.9707
129,5657.9165
130,4253.942
131,8129.176
132,6737.325
133,5792.8027
134,6029.5215
135,5311.072
136,7077.8945
137,7157.7695
138,6928.318
139,5633.8647
140,5259.8696
141,6211.7007
142,3383.0261
143,5998.596
144,5243.9473
145,8461.458
146,7111.278
147,6072.218
148,11387.689
149,4854.685
150,5210.751
151,10581.443
152,6968.8535
153,8545.473
154,7699.074
155,5529.202
156,6016.2817
157,5511.939
158,8375.114
159,11470.668
160,6396.901
161,3392.182
162,4422.3916
163,9232.222
164,9121.287
165,6009.561
166,6854.657
167,5270.309
168,5008.856
169,3241.6863
170,5150.4863
171,6252.2515
172,6913.4937
173,6775.935
174,8779.138
175,8098.101
176,9786.067
177,7190.6445
178,4922.8374
179,9043.713
180,9488.203
181,5768.414
182,8289.66
183,5086.8076
184,6244.493
185,3872.959
186,6012.531
187,5266.415
188,9109.013
189,7461.494
190,8250.272
191,7614.386
192,6093.775
193,8205.664
194,18291.885
195,10399.357
196,5576.22
197,2808.0208
198,5748.9233
199,7848.14
200,5959.372
201,12185.848
202,18356.14
203,3940.8545
204,5179.617
205,9798.376
206,4738.89
207,8511.661
208,6941.565
209,7345.4854
210,4948.325
211,5612.987
212,5752.7183
213,7403.266
214,9692.297
215,6323.9424
216,5818.4927
217,7724.4106
218,5102.5737
219,5056.7563
220,7593.002
221,5552.961
222,5564.995
223,7248.486
224,5861.5615
225,6127.9956
226,7650.7446
227,7100.503
228,8429.547
229,6874.6113
230,8200.407
231,5718.1606
232,3804.306
233,6346.7383
234,6598.953
235,6034.929
236,4314.545
237,8762.367
238,7388.877
239,9780.46
240,6718.0835
241,5693.093
242,5364.0874
243,4045.8254
244,9667.75
245,4978.876
246,7894.5767
247,15526.639
248,7091.0156
249,8050.0913
250,5861.9023
251,4348.658
252,7404.057
253,4054.408
254,5498.54
255,10352.089
256,5548.6885
257,17413.156
258,14182.484
259,4475.9126
260,6651.9844
261,5651.294
262,6795.524
263,5786.5303
264,11038.39
265,7655.7954
266,10604.79
267,4015.8992
268,7411.694
269,5125.902
270,8135.1787
271,6946.333
272,6122.2886
273,6474.083
274,6340.265
275,7357.053
276,9401.965
277,5850.035
278,10747.564
279,6273.664
280,10695.347
281,5719.11
282,5087.9526
283,5376.7734
284,9717.091
285,6166.706
286,8345.319
287,5844.799
288,8735.925
289,3929.7568
290,8763.729
291,6876.9126
292,4034.113
293,13126.089
294,18182.592
295,7151.3555
296,6641.2275
297,9054.0
298,10540.783
299,11271.818
300,5523.747
301,7427.133
302,5683.5938
303,8651.004
304,4029.2683
305,6105.613
306,5735.419
307,5759.8716
308,7471.9478
309,5032.26
310,4963.227
311,6770.8125
312,4031.4824
313,4541.852
314,6423.346
315,6545.989
316,8648.578
317,8328.687
318,6675.307
319,6228.084
320,5873.7603
321,11383.194
322,7857.9214
323,5111.4185
324,4911.6484
325,7613.53
326,4738.7544
327,6728.631
328,3350.8652
329,4491.9824
330,8005.5723
331,6397.3643
332,5178.392
333,8941.344
334,9238.8545
335,12962.27
336,5986.326
337,9773.616
338,2771.4553
339,4854.023
340,6236.1196
341,4458.6367
342,8195.825
343,5172.884
344,4969.299
345,8578.297
346,10645.484
347,8974.404
348,5704.4243
349,5407.2153
350,8174.3745
351,6917.035
352,6204.164
353,5037.325
354,6919.5557
355,9909.707
356,4092.6187
357,6023.642
358,7718.49
359,7674.0776
360,13701.256
361,4850.2886
362,17278.256
363,6701.1455
364,5074.3506
365,4336.954
366,6033.22
367,6269.9077
368,5672.8716
369,7190.3223
370,5023.212
371,4856.2964
372,7530.5796
373,3541.569
374,8081.2207
375,6548.8174
376,7743.233
377,8735.625
378,5545.864
379,8635.911
380,6194.4565
381,5155.597
382,6102.19
383,4887.146
384,11063.389
385,6611.564
386,4750.4375
387,7319.828
388,8385.24
389,7383.7207
390,6204.844
391,8122.2246
392,5700.4326
393,5630.3945
394,5709.1753
395,8361.221
396,6310.4717
397,6075.427
398,5802.1577
399,5436.046
400,3717.1433
401,5939.2363
402,8453.981
403,8201.063
404,9744.03
405,11939.501
406,8641.175
407,6188.2095
408,5312.992
409,9888.862
410,10448.058
411,7897.6113
412,8594.911
413,8111.9756
414,5843.823
415,3835.8699
416,10234.499
417,6538.3647
418,6131.246
419,6218.167
420,3255.6467
421,12446.912
422,6270.099
423,4901.0737
424,4634.4233
425,5725.997
426,6266.9067
427,8342.534
428,6903.5317
429,4393.1265
430,4849.2437
431,4491.9824
432,3162.603
433,7092.111
434,16966.572
435,4603.8516
436,6031.6494
437,6584.589
438,6030.3096
439,5383.993
440,4950.237
441,3750.2795
442,7872.698
443,6685.966
444,4221.051
445,8512.798
446,5937.8657
447,4920.1763
448,9292.97
449,7934.316
450,10064.88
451,5501.7295
452,6329.783
453,4872.7563
454,5002.5166
455,13683.862
456,9875.687
457,6312.56
458,5308.8643
459,4556.016
460,6282.0156
461,5090.8745
462,11226.824
463,4589.508
464,5757.9053
465,7346.298
466,4361.338
467,6314.324
468,7352.7393
469,7564.424
470,7531.183
471,3915.2053
472,5769.7896
473,6626.8594
474,9313.465
475,8373.03
476,6895.1167
477,4616.822
478,8270.716
479,5852.591
480,4373.3916
481,8188.911
482,7067.9927
483,6939.2686
484,5984.5513
485,5992.381
486,6556.46
487,5483.5635
488,7780.066
489,6556.1973
490,6640.6953
491,10094.66
492,6067.1875
493,4409.5425
494,11036.358
495,5790.356
496,3260.9915
497,7949.8657
498,9720.863
499,10374.514
500,5208.779
501,5688.1865
502,6014.079
503,5719.568
504,5291.567
505,8562.669
506,3147.5645
507,4991.232
508,5922.929
509,5456.8066
510,5406.4624
511,6741.2007
512,7835.576
513,5947.035
514,8154.636
515,6700.4106
516,8287.383
517,5024.975
518,6517.963
519,7168.9663
520,8272.1045
521,8076.0356
522,5388.5186
523,8748.423
524,6872.579
525,7873.8696
526,3625.7485
527,3894.0544
528,7905.6895
529,6768.1465
